Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;ean;CN;beeld;
97765-20;240; mustard/green combi;S/36;188;8719937297231;85;179;188;201918959_44.pdf;
;;;;1;;;;1;stans.pdf;
97765-20;240; mustard/green combi;M/38;267;8719937338767;121;254;267;201918959_45.pdf;
;;;;1;;;;1;stans.pdf;
97765-20;240; mustard/green combi;L/40;263;8719937338774;119;250;263;201918959_46.pdf;
;;;;1;;;;1;stans.pdf;
97765-20;240; mustard/green combi;XL/42;233;8719937338781;105;221;233;201918959_47.pdf;
;;;;1;;;;1;stans.pdf;
97765-20;240; mustard/green combi;2XL/44;135;8719937338798;61;128;135;201918959_48.pdf;
;;;;1;;;;1;stans.pdf;
97765-20;240; mustard/green combi;3XL/46;62;8719937338804;28;59;62;201918959_49.pdf;
;;;;1;;;;1;stans.pdf;
;;;;1;;;1141;1;leeg.pdf;1141
;;;;10;;;;10;geel.pdf;
;;;;1;;;;1;stans.pdf;2096
97766-20;550; army combi;XS/34;171;8719937324616;77;162;171;201918959_50.pdf;
;;;;1;;;;1;stans.pdf;
97766-20;550; army combi;S/36;357;8719937297033;162;340;357;201918959_51.pdf;
;;;;1;;;;1;stans.pdf;
97766-20;550; army combi;M/38;548;8719937324623;248;521;548;201918959_52.pdf;
;;;;1;;;;1;stans.pdf;
97766-20;550; army combi;L/40;514;8719937324630;233;489;514;201918959_53.pdf;
;;;;1;;;;1;stans.pdf;
97766-20;550; army combi;XL/42;382;8719937324647;173;363;382;201918959_54.pdf;
;;;;1;;;;1;stans.pdf;
97766-20;550; army combi;2XL/44;155;8719937324654;70;147;155;201918959_55.pdf;
;;;;1;;;;1;stans.pdf;
97766-20;550; army combi;3XL/46;78;8719937324661;35;74;78;201918959_56.pdf;
;;;;1;;;;1;stans.pdf;
;;;;1;;;2096;1;leeg.pdf;2096
;;;;10;;;;10;geel.pdf;
;;;;1;;;;1;stans.pdf;5586
97770-20;925; grey combi;XS/34;255;8719937323534;115;242;255;201918959_57.pdf;
;;;;1;;;;1;stans.pdf;
97770-20;925; grey combi;S/36;938;8719937295503;425;893;938;201918959_58.pdf;
;;;;1;;;;1;stans.pdf;
97770-20;925; grey combi;M/38;1328;8719937323541;602;1264;1328;201918959_59.pdf;
