Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;ean;CN;beeld
CM09.06;Brooklyn Bronze;Diffuse;431551;384;FOCUS;2018_meteon.pdf;CM0906-431551;CM0906;201917453_METEON_42.pdf
C08.03;Brooklyn Classic;Diffuse;431528;384;FOCUS;2018_meteon.pdf;C0803-431528;C0803;201917453_METEON_43.pdf
L1245;California Red;Diffuse;431905;1444;LUMEN;2018_meteon.pdf;L1245-431905;L1245;201917453_METEON_44.pdf
L1971;Iceland Grey;Diffuse;431906;1444;LUMEN;2018_meteon.pdf;L1971-431906;L1971;201917453_METEON_45.pdf
L1245;California Red;Specular;431902;1444;LUMEN;2018_meteon.pdf;L1245-431902;L1245;201917453_METEON_46.pdf
L9000;Metropolis Black;Specular;431189;1090;LUMEN;2018_meteon.pdf;L9000-431189;L9000;201917453_METEON_47.pdf
L9000;Metropolis Black;Specular;431189;1090;LUMEN;2018_meteon.pdf;L9000-431189;L9000;201917453_METEON_47.pdf
L0500 ;Athens White;Diffuse;431218;72;LUMEN;2018_meteon.pdf;L0500 -431218;L0500 ;201917453_METEON_48.pdf
L0500 ;Athens White;Specular;431220;72;LUMEN;2018_meteon.pdf;L0500 -431220;L0500 ;201917453_METEON_49.pdf
L0500 ;Athens White;Oblique;431239;512;LUMEN;2018_meteon.pdf;L0500 -431239;L0500 ;201917453_METEON_50.pdf
L0500 ;Athens White;Specular;431419;384;LUMEN;2018_meteon.pdf;L0500 -431419;L0500 ;201917453_METEON_51.pdf
NA19 ;Italian Slate;Matt;431929;1936;NATURALS;2018_meteon.pdf;NA19 -431929;NA19 ;201917453_METEON_52.pdf
NA18;Natural Slate;Matt;431927;1936;NATURALS;2018_meteon.pdf;NA18-431927;NA18;201917453_METEON_53.pdf
NA15;Indian Terra Cotta;Matt;430314;1936;NATURALS;2018_meteon.pdf;NA15-430314;NA15;201917453_METEON_54.pdf
NA16 ;Belgian Bluestone;Matt;431639;42;NATURALS;2018_meteon.pdf;NA16 -431639;NA16 ;201917453_METEON_55.pdf
NA19 ;Italian Slate;Matt-Rock;431979;54;NATURALS;2018_meteon.pdf;NA19 -431979;NA19 ;201917453_METEON_56.pdf
NA17;Natural Graphite;Matt;431644;616;NATURALS;2018_meteon.pdf;NA17-431644;NA17;201917453_METEON_57.pdf
M35.7.1 ;Malachite Green;Satin;431148;256;METALLICS;2018_meteon.pdf;M3571 -431148;M3571 ;201917453_METEON_58.pdf
M06.4.1;Amber;Satin;431144;384;METALLICS;2018_meteon.pdf;M0641-431144;M0641;201917453_METEON_59.pdf
M51.0.2;Urban Grey;Rock;431062;128;METALLICS;2018_meteon.pdf;M5102-431062;M5102;201917453_METEON_60.pdf
M21.8.1;Graphite Grey;Rock;400834;722;METALLICS;2018_meteon.pdf;M2181-400834;M2181;201917453_METEON_61.pdf
7039;Quartz Grey;Satin;431367;968;RAL COLOURS;2018_izeon.pdf;7039-431367;7039;201917453_METEON_62.pdf
P04.0.2;Pale Yellow;Satin | Flush | Black core;431463;1139;UNI COLOURS;2018_Pura.pdf;P0402-431463;P0402;201917453_METEON_63.pdf
P05.0.0 ;Pure White;Satin | Flush | Black core;431461;1141;UNI COLOURS;2018_Pura.pdf;P0500 -431461;P0500 ;201917453_METEON_64.pdf
P03.0.0 ;White;Satin | Flush | Black core;431462;1200;UNI COLOURS;2018_Pura.pdf;P0300 -431462;P0300 ;201917453_METEON_65.pdf
PU22 ;Slate Ebony;Matt | Flush | Black core;431164;1200;WOOD DECORS;2018_Pura.pdf;PU22 -431164;PU22 ;201917453_METEON_66.pdf
PU17;Aged Ash;Matt | Flush | Brown core;431165;1138;WOOD DECORS;2018_Pura.pdf;PU17-431165;PU17;201917453_METEON_67.pdf
PU08 ;Romantic Walnut;Matt | Flush | Brown core;431168;1200;WOOD DECORS;2018_Pura.pdf;PU08 -431168;PU08 ;201917453_METEON_68.pdf
PU30;Tropical Ipe;Matt | Flush | Brown core;431879;1200;WOOD DECORS;2018_Pura.pdf;PU30-431879;PU30;201917453_METEON_69.pdf
T03.0.0 ;White;Crystal Matt;400924;1350;;2018_toplab_PLUS.pdf;T0300 -400924;T0300 ;201917453_TOPLAB_1.pdf
T03.4.0;Silver Grey;Crystal Matt;400930;1080;;2018_toplab_PLUS.pdf;T0340-400930;T0340;201917453_TOPLAB_2.pdf
T03.1.0;Pastel Grey;Crystal Matt;400927;1080;;2018_toplab_PLUS.pdf;T0310-400927;T0310;201917453_TOPLAB_3.pdf
D02.1.0;Pastel Grey/Silver;Crystal Matt;400675;540;;2018_toplab_PLUS.pdf;D0210-400675;D0210;201917453_TOPLAB_4.pdf
